gene,score
YWHAH,3.50955414012739
YWHAZ,3.4968152866242
ZBTB17,3.48407643312102
DBF4B,3.47133757961783
CDT1,3.45859872611465
SMC1A,3.44585987261146
CDC7,3.43312101910828
CDC45,3.4203821656051
MAD1L1,3.40764331210191
CUL1,3.39490445859873
CCNB3,3.38216560509554
CDC14B,3.36942675159236
CDC14A,3.35668789808917
CDC23,3.34394904458599
CDC16,3.3312101910828
CCNA2,3.31847133757962
CCNA1,3.30573248407643
CCNB1,3.29299363057325
CCND2,3.28025477707006
CCND3,3.26751592356688
CCNE1,3.25477707006369
CCNH,3.24203821656051
TICRR,3.22929936305732
PKMYT1,3.21656050955414
SMC3,3.20382165605096
CCNB2,3.19108280254777
CCNE2,3.17834394904459
BUB3,3.1656050955414
AURKB,3.15286624203822
PTTG1,3.14012738853503
TRIP13,3.12738853503185
MAD2L1BP,3.11464968152866
ESPL1,3.10191082802548
CDK1,3.08917197452229
CDC6,3.07643312101911
CDC20,3.06369426751592
CDC25A,3.05095541401274
CDC25B,3.03821656050955
CDC25C,3.02547770700637
CDC27,3.01273885350318
RBX1,3
AKR1A1,2
ADH1A,1.97510373443983
ADH1B,1.95020746887967
ADH1C,1.9253112033195
ADH4,1.90041493775934
ADH5,1.87551867219917
ADH6,1.850622406639
GALM,1.82572614107884
ADH7,1.80082987551867
LDHAL6A,1.77593360995851
DLAT,1.75103734439834
DLD,1.72614107883817
ENO1,1.70124481327801
ENO2,1.67634854771784
ENO3,1.65145228215768
ALDH2,1.62655601659751
ALDH3A1,1.60165975103734
ALDH1B1,1.57676348547718
FBP1,1.55186721991701
ALDH3B1,1.52697095435685
ALDH3B2,1.50207468879668
ALDH9A1,1.47717842323651
ALDH3A2,1.45228215767635
ALDOA,1.42738589211618
ALDOB,1.40248962655602
ALDOC,1.37759336099585
G6PC1,1.35269709543568
GAPDH,1.32780082987552
GAPDHS,1.30290456431535
GCK,1.27800829875519
GPI,1.25311203319502
HK1,1.22821576763485
HK2,1.20331950207469
HK3,1.17842323651452
ENO4,1.15352697095436
LDHA,1.12863070539419
LDHB,1.10373443983402
LDHC,1.07883817427386
PGAM4,1.05394190871369
ALDH7A1,1.02904564315353
PCK1,1.00414937759336
PCK2,0.979253112033195
PDHA1,0.954356846473029
PDHA2,0.929460580912863
PDHB,0.904564315352697
PFKL,0.879668049792531
PFKM,0.854771784232365
PFKP,0.829875518672199
PGAM1,0.804979253112033
PGAM2,0.780082987551867
PGK1,0.755186721991701
PGK2,0.730290456431535
PGM1,0.70539419087137
PKLR,0.680497925311203
PKM,0.655601659751037
PGM2,0.630705394190872
ACSS2,0.605809128630705
G6PC2,0.58091286307054
BPGM,0.556016597510373
TPI1,0.531120331950208
HKDC1,0.506224066390042
ADPGK,0.481327800829876
ACSS1,0.45643153526971
FBP2,0.431535269709544
LDHAL6B,0.406639004149378
G6PC3,0.381742738589212
MINPP1,0.356846473029046
CS,0.33195020746888
DLST,0.307053941908714
FH,0.282157676348548
IDH1,0.257261410788382
IDH2,0.232365145228216
IDH3A,0.20746887966805
IDH3B,0.182572614107884
IDH3G,0.157676348547718
MDH1,0.132780082987552
MDH2,0.107883817427386
ACLY,0.0829875518672201
ACO1,0.0580912863070542
OGDH,0.0331950207468881
ACO2,0.00829875518672218
PC,-0.0165975103734439
OGDHL,-0.0414937759336098
SDHA,-0.0663900414937757
SDHB,-0.0912863070539416
SDHC,-0.116182572614108
SDHD,-0.141078838174274
SUCLG2,-0.16597510373444
SUCLG1,-0.190871369294606
SUCLA2,-0.215767634854771
GLYCTK,-0.240663900414938
PRPS1L1,-0.265560165975104
RPIA,-0.29045643153527
SHPK,-0.315352697095435
G6PD,-0.340248962655601
PGLS,-0.365145228215768
IDNK,-0.390041493775934
DERA,-0.414937759336099
PGD,-0.439834024896265
PRPS1,-0.464730290456431
PRPS2,-0.489626556016598
RPE,-0.514522821576763
RBKS,-0.539419087136929
TALDO1,-0.564315352697095
TKT,-0.589211618257261
RPEL1,-0.614107883817427
TKTL1,-0.639004149377593
TKTL2,-0.663900414937759
RGN,-0.688796680497925
H6PD,-0.713692946058091
UGT2B11,-0.738589211618257
UGT2A1,-0.763485477178423
AKR1B1,-0.788381742738589
DHDH,-0.813278008298755
BKGD,-0.838174273858921
GUSB,-0.863070539419087
AKR1B15,-0.887966804979253
CRYL1,-0.912863070539419
DCXR,-0.937759336099585
UGT2B28,-0.962655601659751
UGT1A10,-0.987551867219917
UGT1A8,-1.01244813278008
UGT1A7,-1.03734439834025
UGT1A6,-1.06224066390041
UGT1A5,-1.08713692946058
UGT1A9,-1.11203319502075
UGT1A4,-1.13692946058091
UGT1A1,-1.16182572614108
UGT1A3,-1.18672199170124
FGGY,-1.21161825726141
AKR1B10,-1.23651452282158
UGT2A2,-1.26141078838174
SORD,-1.28630705394191
CRPPA,-1.31120331950207
UGDH,-1.33609958506224
UGP2,-1.36099585062241
UGT2B4,-1.38589211618257
UGT2B7,-1.41078838174274
UGT2B10,-1.4356846473029
UGT2B15,-1.46058091286307
UGT2B17,-1.48547717842324
UGT2A3,-1.5103734439834
KL,-1.53526970954357
XYLB,-1.56016597510373
FCSK,-1.5850622406639
TKFC,-1.60995850622407
GMDS,-1.63485477178423
FUOM,-1.6597510373444
GMPPB,-1.68464730290456
GMPPA,-1.70954356846473
KHK,-1.7344398340249
MPI,-1.75933609958506
HSD17B14,-1.78423236514523
PFKFB1,-1.80912863070539
PFKFB2,-1.83402489626556
PFKFB3,-1.85892116182573
PFKFB4,-1.88381742738589
PMM1,-1.90871369294606
PMM2,-1.93360995850622
ENOSF1,-1.95850622406639
TIGAR,-1.98340248962656
GFUS,-2.00829875518672
FPGT,-2.03319502074689
GAA,-2.05809128630705
GALE,-2.08298755186722
GALK1,-2.10788381742739
GALT,-2.13278008298755
GANC,-2.15767634854772
B4GALT1,-2.18257261410788
GLA,-2.20746887966805
GLB1,-2.23236514522822
LALBA,-2.25726141078838
LCT,-2.28215767634855
SI,-2.30705394190871
B4GALT2,-2.33195020746888
MGAM,-2.35684647302905
MGAM2,-2.38174273858921
MIOX,-2.40663900414938
HTD2,-2.43153526970954
ACSF3,-2.45643153526971
ACSL1,-2.48132780082988
ACSL3,-2.50622406639004
ACSL4,-2.53112033195021
FASN,-2.55601659751037
ACSBG1,-2.58091286307054
ACSL6,-2.6058091286307
MCAT,-2.63070539419087
ACACA,-2.65560165975104
ACACB,-2.6804979253112
MECR,-2.70539419087137
ACSL5,-2.73029045643154
OXSM,-2.7551867219917
OLAH,-2.78008298755187
HSD17B8,-2.80497925311203
ACSBG2,-2.8298755186722
CBR4,-2.85477178423236
ACAA2,-2.87966804979253
ACOT2,-2.9045643153527
ACOT7,-2.92946058091286
THEM4,-2.95435684647303
ACOT4,-2.9792531120332
MBLAC2,-3.00414937759336
ECHS1,-3.02904564315353
HACD2,-3.05394190871369
THEM5,-3.07883817427386
HADHA,-3.10373443983402
HADHB,-3.12863070539419
HADH,-3.15352697095436
HACD4,-3.17842323651452
HSD17B12,-3.20331950207469
HACD3,-3.22821576763485
ELOVL2,-3.25311203319502
PPT1,-3.27800829875519
ELOVL5,-3.30290456431535
ACOT1,-3.32780082987552
ELOVL1,-3.35269709543568
ELOVL4,-3.37759336099585
ELOVL6,-3.40248962655602
ELOVL7,-3.42738589211618
ELOVL3,-3.45228215767635
HACD1,-3.47717842323651
PPT2,-3.50207468879668
TECR,-3.52697095435685
ECI2,-3.55186721991701
CYP2U1,-3.57676348547718
CPT1C,-3.60165975103734
CPT1A,-3.62655601659751
CPT1B,-3.65145228215768
CPT2,-3.67634854771784
ECI1,-3.70124481327801
EHHADH,-3.72614107883817
GCDH,-3.75103734439834
ACAA1,-3.77593360995851
ACADL,-3.80082987551867
ACADM,-3.82572614107884
ACADS,-3.850622406639
ACADSB,-3.87551867219917
ACADVL,-3.90041493775934
ACAT1,-3.9253112033195
ACAT2,-3.95020746887967
ACOX1,-3.97510373443983
ACOX3,-4
