"sample_id","label"
"TCGA-DD-A3A5-11","Normal"
"TCGA-DD-A1EH-11","Normal"
"TCGA-DD-A1EC-11","Normal"
"TCGA-EP-A26S-11","Normal"
"TCGA-DD-A3A3-11","Normal"
"TCGA-BC-A10U-11","Normal"
"TCGA-BC-A110-11","Normal"
"TCGA-DD-A39V-11","Normal"
"TCGA-DD-A3A8-11","Normal"
"TCGA-DD-A1EL-11","Normal"
"TCGA-DD-A3A1-11","Normal"
"TCGA-FV-A23B-11","Normal"
"TCGA-BC-A10Z-11","Normal"
"TCGA-FV-A3I0-11","Normal"
