"","TCGA-ES-A2HS-01","TCGA-GJ-A3OU-01","TCGA-UB-A7MF-01","TCGA-DD-A4NO-01","TCGA-DD-AAD5-01","TCGA-2Y-A9H6-01","TCGA-CC-A9FS-01","TCGA-DD-A115-01","TCGA-DD-AADM-01","TCGA-BC-A3KG-01","TCGA-RC-A7S9-01","TCGA-DD-AADF-01","TCGA-EP-A3RK-01","TCGA-DD-AAEG-01","TCGA-CC-A8HS-01","TCGA-G3-AAUZ-01","TCGA-DD-AAW0-01","TCGA-5R-AA1C-01","TCGA-CC-A9FV-01","TCGA-DD-AAE1-01","TCGA-G3-A3CH-01","TCGA-CC-A1HT-01","TCGA-DD-AAE0-01","TCGA-CC-A7IJ-01","TCGA-DD-AADG-01","TCGA-DD-AADN-01","TCGA-G3-A3CI-01","TCGA-RC-A6M4-01","TCGA-WX-AA44-01","TCGA-G3-A3CK-01","TCGA-DD-AADL-01","TCGA-FV-A4ZQ-01","TCGA-DD-AACO-01","TCGA-DD-A4NE-01","TCGA-G3-A25U-01","TCGA-2Y-A9HB-01","TCGA-DD-AAVW-01","TCGA-DD-A4NV-01","TCGA-DD-A3A7-01","TCGA-CC-A5UE-01","TCGA-DD-AADO-01","TCGA-LG-A6GG-01","TCGA-EP-A12J-01","TCGA-BW-A5NQ-01","TCGA-BC-A3KF-01","TCGA-UB-A7MB-01","TCGA-DD-A4NJ-01","TCGA-DD-AADQ-01","TCGA-EP-A26S-01","TCGA-DD-AADR-01","TCGA-DD-A1EH-01","TCGA-DD-A1EE-01","TCGA-DD-AAE6-01","TCGA-WX-AA47-01","TCGA-DD-A3A3-01","TCGA-CC-5261-01","TCGA-DD-AAE9-01","TCGA-RG-A7D4-01","TCGA-ED-A8O5-01","TCGA-ED-A5KG-01","TCGA-MI-A75C-01","TCGA-DD-AAW1-01","TCGA-DD-A1EI-01","TCGA-DD-A1EJ-01","TCGA-DD-AAD0-01","TCGA-DD-AAEE-01","TCGA-DD-AAD8-01","TCGA-DD-A4NS-01","TCGA-DD-A39V-01","TCGA-G3-A25T-01","TCGA-CC-A8HT-01","TCGA-CC-A5UC-01","TCGA-2Y-A9GV-01","TCGA-BC-A10Z-01","TCGA-FV-A4ZP-01","TCGA-DD-AACK-01","TCGA-YA-A8S7-01","TCGA-CC-A7II-01","TCGA-DD-AACS-01","TCGA-DD-AADY-01","TCGA-G3-A5SM-01","TCGA-CC-A7IE-01","TCGA-DD-A4NP-01","TCGA-DD-AACH-01","TCGA-2Y-A9H8-01","TCGA-FV-A495-01","TCGA-RC-A7SH-01","TCGA-K7-A5RF-01","TCGA-3K-AAZ8-01","TCGA-DD-AAE3-01","TCGA-DD-AAVY-01","TCGA-DD-AADC-01","TCGA-BC-A217-01","TCGA-ZP-A9D2-01","TCGA-DD-AAEH-01","TCGA-DD-AACA-01","TCGA-DD-AADJ-01","TCGA-ED-A459-01","TCGA-DD-AAVV-01","TCGA-DD-AAVU-01","TCGA-G3-A3CH-11","TCGA-FV-A3R2-11","TCGA-DD-A3A2-11","TCGA-BC-A10T-11","TCGA-DD-A3A6-11","TCGA-FV-A2QR-11","TCGA-DD-A1EG-11","TCGA-DD-A39X-11","TCGA-DD-A119-11","TCGA-EP-A3RK-11","TCGA-DD-A11B-11","TCGA-BC-A10Y-11","TCGA-FV-A3I1-11","TCGA-DD-A11A-11","TCGA-DD-A116-11","TCGA-EP-A12J-11","TCGA-BD-A2L6-11","TCGA-DD-A114-11","TCGA-DD-A39Z-11","TCGA-BC-A10X-11","TCGA-DD-A11D-11","TCGA-DD-A118-11","TCGA-DD-A1EE-11","TCGA-DD-A1EB-11","TCGA-BC-A10W-11","TCGA-BC-A10R-11","TCGA-DD-A1EI-11","TCGA-DD-A113-11","TCGA-DD-A1EJ-11","TCGA-DD-A11C-11","TCGA-BC-A10Q-11","TCGA-DD-A39W-11","TCGA-BD-A3EP-11","TCGA-ES-A2HT-11","TCGA-BC-A216-11","TCGA-DD-A3A4-11","TCGA-DD-A3A5-11","TCGA-DD-A1EH-11","TCGA-DD-A1EC-11","TCGA-EP-A26S-11","TCGA-DD-A3A3-11","TCGA-BC-A10U-11","TCGA-BC-A110-11","TCGA-DD-A39V-11","TCGA-DD-A3A8-11","TCGA-DD-A1EL-11","TCGA-DD-A3A1-11","TCGA-FV-A23B-11","TCGA-BC-A10Z-11","TCGA-FV-A3I0-11"
"IGF2",19.0264,9.2158,16.1427,9.5597,3.3462,17.0423,16.6178,10.4739,8.868,8.5519,12.1973,8.5573,7.768,10.8954,19.3832,9.9327,14.8615,7.1084,9.5225,18.1415,14.8908,7.7237,19.4556,7.2537,9.6209,8.9598,12.1715,11.0571,12.6387,14.0164,7.7773,18.0184,15.4664,7.8878,7.9044,8.6711,16.9984,11.4864,8.8154,5.6732,18.4176,7.263,13.7,7.635,5.9107,7.553,7.8273,6.6011,11.0452,10.3643,18.6978,9.54,13.7733,9.6055,13.4263,16.2783,8.5414,6.6729,17.13,16.7815,7.116,12.1649,18.448,17.8763,3.3658,8.3992,9.7366,13.5811,10.6088,14.0202,7.6458,17.8611,13.6236,5.3916,6.9577,8.1308,9.7345,19.4745,14.1747,8.7249,9.2229,18.5372,15.1195,7.8903,19.3029,12.1062,19.213,15.0242,9.0678,9.631,12.5034,10.4119,6.0749,9.6728,10.404,8.6532,19.2709,6.6539,9.5578,7.2569,15.5087,15.0024,15.3885,15.491,16.4605,14.7897,15.4048,15.6716,15.4581,15.6672,15.3875,15.0493,15.518,15.0022,15.2803,14.8907,14.6834,15.0758,17.0449,15.7576,15.7949,15.0285,15.707,15.5521,15.5703,14.8794,15.6051,15.7059,15.6442,15.8767,15.5432,15.6223,15.174,12.3001,15.1673,14.9989,16.0182,16.1838,15.6072,15.3524,14.9087,15.1795,15.5179,15.4168,14.7695,14.7633,15.1512,14.5705,14.8337,15.5666
"MAGEA1",0.8951,0.7573,0,5.5239,8.6508,0.7977,1.1982,9.3987,5.3846,10.7983,0,8.3694,8.1898,8.7455,0,0,9.7741,10.2405,0,9.6035,0,8.8412,0,0.4887,5.1796,6.5719,0,0,0,1.2132,9.9428,0.6062,0,1.112,9.7485,6.4126,9.2389,9.391,7.3078,10.0963,0,9.8249,0,10.183,3.1433,3.0041,4.7646,9.9684,4.2522,10.0508,0,6.7079,8.1512,0,0,0,4.2574,9.4889,0,7.2411,9.9876,0,0,10.1465,1.1134,6.8984,10.9163,1.3498,9.9165,0.901,6.297,0,3.1067,10.1034,0,7.7486,3.6594,0,0,0,6.5729,1.3757,0,10.7727,0,8.6616,0.7114,5.2688,10.2651,8.324,0,4.0598,10.2892,0,0,2.5339,9.6513,1.7132,2.1244,9.4995,0,0,0,0,0,1.9044,0,0.8015,0,0,0,0,0.9455,0.726,0,0,0,0.6975,1.0146,0,0,0,0,0,0.8946,0.7567,0,0,0,0,0,0,0,0,1.5215,0,0.9907,0,0,0,0,0,0,2.0164,0,0,0,1.5548,0,0.9267
"DCAF4L2",0,0,0,0,11.528,0,0,9.7844,9.2769,10.2597,0,9.4765,10.6924,0,0.6064,9.0172,0,1.1051,0,4.4174,0,10.4946,0,2.0792,10.5313,0,0.9354,0,0,3.4154,11.0678,0,0,0,8.8923,4.5294,0,2.8646,0,0,0,6.3491,0,10.657,0.477,0,2.3124,9.2014,10.6475,8.3592,0,3.5498,0,0,0,0,9.8819,9.7546,0,1.0062,0,5.6656,0,9.7349,0,11.3646,9.929,10.275,8.157,0.5197,11.0541,0,0,10.7365,0,9.8325,1.0085,10.2889,0,0,6.0715,0,0,2.1061,1.2288,8.6893,0,1.3408,0,7.9828,0,0,9.8622,9.0921,0,5.4053,0,0,0,0,0,0,0,0,0,0.7535,2.2465,0,0,1.063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4318,0,0,0,0,1.9284,0,0,0,0,0,0,0,0,0,0,1.6897,2.2366,1.1966,0,0
"DLK1",4.3769,0.7573,0.9606,0,0.594,8.5519,3.9897,2.6973,0.8233,0,17.8066,1.435,0,1.8373,6.2023,3.2144,1.7106,0,3.9306,0,2.4428,0.3461,8.0283,1.3857,3.7173,0,0,0.6265,2.5096,0,0,15.4755,1.8548,1.7324,4.402,1.1337,10.2343,4.3796,0,0,13.7732,0,0,13.1911,0,0,0,0,0.5265,0.8895,15.0257,0.482,3.6727,2.1481,6.5024,8.0969,0,7.8976,13.2487,14.9304,1.8929,1.4847,0.8586,7.0593,0,0.6208,0,2.6235,7.2717,4.2962,0,14.1175,0,0,1.4922,0,2.1831,17.5034,0,2.9002,2.2089,14.6046,5.8242,4.9765,0,5.2482,9.7017,1.3408,2.1318,2.7278,0,2.1044,1.5837,3.228,1.7737,0,4.4975,0.6505,1.5927,2.4398,0.9157,3.6251,5.3269,6.1977,0,6.7364,3.4982,2.6324,3.6519,8.3374,1.2169,3.3439,2.2338,1.2066,1.7795,1.0839,4.3411,1.5186,7.2089,1.162,1.7889,2.1846,2.503,1.8642,0,2.1531,1.2196,0,5.0017,3.8661,0.9886,5.3907,2.6793,0,5.9276,7.9037,2.7914,2.6586,3.8213,7.2209,6.9048,1.7822,4.2856,3.605,1.644,1.9193,3.0748,1.5548,4.3507,4.7129
"UROC1",13.4228,9.2988,4.3163,5.001,2.4815,10.8662,5.3392,7.9397,6.471,2.704,2.2026,5.5015,4.1767,7.4338,7.8014,10.2562,11.3422,2.4866,0,11.266,11.5743,1.0597,5.0665,1.1439,10.1598,10.6915,4.4585,2.2651,7.8811,5.211,9.5152,7.3149,9.8242,1.7324,11.6198,6.7372,9.4612,12.529,4.1995,8.8859,9.0113,11.6096,2.4695,3.4796,11.1237,2.0967,7.8019,2.0713,0.5265,12.634,10.3043,0,12.8895,2.4794,3.6557,6.6195,1.7073,9.3244,10.2836,8.139,11.594,5.7322,8.5513,11.8975,12.4062,5.9486,10.4709,7.9071,5.086,4.8673,5.2119,10.2399,9.56,12.0068,0.931,10.2075,5.703,0,9.8461,12.7658,12.7181,10.3211,5.851,3.0609,11.1151,9.8254,10.7704,12.6846,5.8424,10.1397,4.1974,4.4348,4.0425,5.4455,10.7646,5.3754,10.5228,5.2706,3.47,9.3991,12.8969,11.7406,12.5063,11.7614,12.8454,11.7191,13.0529,11.9648,13.058,12.7482,13.0162,9.9858,12.4527,11.3978,13.5908,13.541,11.0317,13.0874,11.813,12.8713,12.4189,12.4643,12.6985,12.7399,11.8967,12.266,12.4144,11.7913,11.5593,12.5741,12.8759,13.3304,11.6152,11.7924,12.5276,9.7159,12.7239,12.4477,11.6445,13.0301,12.1213,12.1893,12.3073,12.5368,13.6163,12.913,11.2426,11.4605,11.3764,13.234
"SAA1",15.6367,15.5686,8.2218,14.7859,15.7399,11.4032,15.3457,12.374,16.0736,12.1792,7.5295,14.6143,15.8148,13.4714,4.3458,14.2989,13.9463,14.1664,0,11.3119,9.8723,14.3453,10.0876,1.1439,7.819,9.9893,15.1951,8.4292,8.4152,14.2707,11.7441,11.9179,10.4017,14.1547,11.3014,11.8254,8.9434,11.7981,14.2086,3.0791,10.4524,11.9101,11.4139,11.0541,11.6046,12.9988,11.7596,19.5744,6.7668,13.3636,4.7032,11.6252,5.8244,15.4796,16.2672,6.4029,14.5847,10.633,2.6793,1.0062,9.0429,10.9687,9.9436,9.4855,9.3044,8.6952,14.6496,8.9915,16.6688,13.1483,13.4401,11.1008,17.3929,8.7048,13.3605,14.3818,15.6639,4.1483,6.8011,1.9149,16.861,6.9796,17.9937,7.15,8.9488,11.1896,7.8642,12.4021,10.6834,9.8331,10.2805,8.8499,9.856,6.745,11.1155,6.5712,9.3816,16.7921,12.2785,13.7347,11.4733,12.6369,12.4733,15.8175,14.8899,13.3881,14.026,13.6865,20.0353,11.3948,13.8843,12.5997,11.9952,19.744,10.5966,11.1304,12.9899,11.351,16.3542,13.4809,12.0788,14.4345,17.6156,12.6289,13.1546,15.3326,10.872,18.3492,15.2282,14.8644,14.5035,13.0558,12.411,13.3433,19.6263,16.059,17.213,13.9969,18.8852,12.0341,13.8284,15.6748,15.6098,18.9237,11.1511,10.913,19.7791,12.9998,15.2063,14.8271
"CYP1A1",5.6688,2.5439,1.7507,5.1319,2.1909,5.429,13.7127,8.5917,9.9121,2.1846,2.9271,3.594,12.6361,7.2114,2.373,6.8696,4.6362,11.8728,1.1987,0.9781,5.4834,6.2953,1.2019,4.3184,11.4939,3.8962,2.2171,15.5829,3.5795,11.9817,7.4166,5.6312,3.6755,1.7324,1.1049,10.4451,3.3434,9.873,9.0522,9.7886,1.868,8.2662,12.3392,10.3055,6.5821,5.1556,3.282,5.6159,15.7879,8.2381,0,16.0274,4.9397,2.7486,3.5296,1.9037,7.4267,4.6631,1.0573,1.3294,15.1685,7.8606,5.9542,6.4406,12.1569,11.6262,6.0672,11.6243,10.7274,2.6332,7.7146,7.5786,3.6831,9.3927,0,11.9459,4.1452,0,2.8359,2.231,7.1102,3.4018,13.0417,11.1598,2.9483,9.9897,0,8.4084,13.6563,9.4479,9.1164,6.7693,10.8552,1.0647,13.8136,11.7445,2.4108,2.9702,7.653,5.3253,11.2293,8.7049,10.9368,10.2625,10.4285,6.835,11.1333,11.7572,11.1912,11.0827,7.2728,11.7617,10.0028,8.0439,11.0483,10.4241,8.6387,9.2055,10.7174,10.9553,11.5145,10.4542,9.5912,11.156,10.5787,8.7293,9.4222,12.9037,7.0981,10.2406,8.5046,11.5383,9.6162,10.8588,8.069,8.5656,10.6207,10.6308,9.9019,10.5597,11.0447,6.4327,8.6304,7.9406,7.8621,9.4851,10.1242,10.6361,11.464,10.7803
"MME",0,8.6999,2.1081,7.529,9.3111,4.1684,11.8801,9.678,7.2313,3.8866,9.0219,6.3107,12.7253,8.5395,4.7616,7.2383,6.4678,14.1767,4.1036,4.4815,0.7083,4.4513,2.2931,11.3997,13.0601,0,10.3476,8.6908,8.0943,13.2499,9.5676,8.8307,0,10.0343,7.1496,6.7128,2.3849,11.3581,7.1291,0.6156,3.833,0,13.9866,14.4258,11.1074,10.7463,3.5978,4.2791,10.8692,5.5816,2.213,10.7676,0,2.1481,2.0582,3.4958,14.5846,6.398,2.6793,4.9188,3.0811,14.3208,6.6761,4.9043,13.4741,13.49,0,6.8723,12.2651,4.0159,3.5098,4.8879,9.3041,9.6896,3.1953,9.8107,11.9219,3.003,3.4564,0,2.362,1.3757,13.5683,8.5893,4.965,3.4901,2.4493,9.8248,1.0892,9.6872,8.719,6.5832,1.806,9.1141,10.4033,12.8785,2.0835,9.049,6.0631,0,11.6453,9.1392,10.7114,10.6676,10.6175,6.8945,10.6441,10.1528,10.49,11.1948,10.7192,9.3378,10.7778,9.2337,10.2411,10.2426,8.36,10.1318,9.0375,11.7566,10.3757,11.2732,9.9058,11.4981,10.3763,10.6643,11.261,11.1854,8.2615,11.2041,11.3336,11.5672,10.3028,8.0266,9.9317,6.859,11.0387,10.9171,9.1232,11.0097,8.3623,10.8792,10.8451,10.3914,10.9007,10.8517,8.9615,9.867,8.1715,11.0873
"ASPG",10.5824,9.3516,9.959,7.6076,9.4996,10.3406,8.3106,6.8894,9.8593,0.8383,10.8086,9.7564,1.0969,12.1558,10.5209,11.2036,9.9756,0,5.1689,3.4194,10.024,0.625,5.4987,0,0,4.3965,6.2093,0.6265,8.2208,0.91,4.1537,2.5109,11.5427,4.5987,9.0557,9.9326,9.107,9.4054,6.5437,7.8277,4.8271,10.4762,0,1.2932,7.1462,5.727,7.4026,11.234,0,6.6049,6.347,0,2.4141,12.2159,9.2815,5.3244,0,7.5739,10.1095,3.6552,5.5165,0.6776,8.4014,8.2173,0,6.6661,0,8.7343,2.2532,6.7389,2.8304,8.8573,10.8582,5.0026,7.5528,0,5.758,0,7.9279,9.1617,11.4047,10.2379,0,9.2697,8.1693,9.5182,9.2291,11.2167,9.297,9.6062,6.8868,3.9865,4.7794,4.119,10.7832,3.7221,7.0042,9.0888,10.6557,10.1062,11.6056,12.1939,12.258,11.4787,12.0985,9.7104,11.4635,11.2719,12.063,11.536,11.8483,11.273,11.7349,11.29,12.024,11.113,10.6417,10.1673,11.43,10.5033,11.0052,10.4603,11.604,11.7821,10.6234,10.5687,11.4592,11.0994,10.6226,11.988,10.9651,12.2716,10.7329,8.2564,11.9223,9.9117,12.4978,11.8985,10.7234,11.956,12.6354,11.7567,12.2043,12.4869,11.9308,10.905,12.3413,10.0869,11.5669,12.6514
"AKR1B10",13.4634,14.3951,10.2398,16.4748,15.1548,5.2725,6.4336,12.8943,17.3327,7.8074,10.5888,10.574,13.8549,14.7873,6.8639,13.3325,14.599,15.192,0,11.5744,13.0535,13.8787,5.6181,11.7745,5.5601,14.701,8.3759,13.44,15.2681,15.0664,13.4333,6.6319,16.466,10.8904,6.1885,12.9122,14.9532,11.2909,16.214,16.0829,10.2444,14.6898,9.5645,14.7321,0.477,7.2411,13.3047,10.11,10.2317,15.4107,8.4532,17.1942,11.2245,9.3513,13.1749,13.2592,14.3227,11.1368,6.0765,9.0081,16.7435,10.1381,15.0764,13.4975,7.8286,9.6195,15.4391,12.6979,14.447,11.4165,16.4949,12.7759,10.0467,12.2586,16.3215,16.9343,13.916,2.4109,14.4866,9.2254,15.6087,11.2137,4.9642,15.9283,4.8009,13.6619,11.7912,9.416,14.368,10.072,15.8059,10.286,9.6401,12.781,15.0287,8.573,15.58,12.7368,15.866,15.0124,6.4863,8.4005,5.7037,5.4214,9.2449,10.1003,8.8711,8.3798,5.2551,5.2901,10.907,10.1352,7.6774,8.0041,6.9761,10.7943,8.3257,14.7192,10.1903,6.3695,7.035,4.3988,10.8909,10.2063,9.2811,4.4388,5.8449,12.4964,7.6656,5.9959,7.3171,3.514,10.2589,13.986,5.9276,7.925,6.267,5.3526,4.7694,5.1983,3.8748,9.0553,4.405,8.1407,7.0983,10.3447,11.6339,12.1617,12.5032,8.4045
"C14orf68",14.5926,12.1557,3.2502,9.1966,3.4839,9.2085,11.67,8.7835,10.6205,2.4152,10.3927,4.1033,10.3468,9.7628,6.4027,12.4422,12.6164,5.285,1.1987,11.5414,12.1894,0,7.6806,0.4887,13.6984,12.9593,11.0465,7.9441,9.3557,8.4088,9.3853,5.4187,10.3213,10.767,13.7344,3.4791,12.3364,13.761,5.1597,8.1009,8.7959,8.0746,5.7786,6.3532,11.7327,8.8725,8.6211,10.6935,5.2476,10.6947,8.5528,9.2412,7.1872,5.4374,7.1318,4.6432,13.0219,8.8469,12.668,7.94,12.9303,5.9296,11.2229,13.5681,8.4564,5.168,13.6212,12.6742,7.6953,10.6069,4.227,11.6378,13.8396,13.025,5.6162,13.5564,8.8274,1.0562,2.4867,4.2834,12.6889,12.1614,14.0147,4.3289,11.5082,11.7543,4.0265,14.0861,4.6252,10.5206,11.1052,7.6126,4.8807,7.5038,7.7731,7.3452,12.1611,12.2993,6.2013,9.5083,14.2686,14.544,14.3664,13.4538,15.098,14.5751,14.6925,14.0534,13.3894,14.4468,14.4672,13.1295,15.0388,13.1928,13.6515,13.5466,13.0164,13.0124,15.0667,13.7333,13.6347,14.3945,13.7136,13.7708,14.3517,13.9774,13.9276,14.3601,14.7592,14.4015,14.1488,14.6406,14.7477,13.5391,13.0494,13.9559,14.8044,14.2789,13.9234,13.91,14.3349,13.6975,14.37,14.4825,14.8532,13.6148,14.8711,13.2917,14.8696,14.6528
"EEF1A2",2.1504,11.7245,2.6331,7.9504,5.255,11.2366,8.1224,3.0096,7.0836,8.8773,6.0673,9.9048,12.6759,13.428,2.2196,2.4857,12.7337,11.1241,2.6279,2.7697,6.9758,0.625,4.6092,6.769,7.3984,2.0308,9.5701,12.675,11.5931,0.91,1.9259,4.1884,0,11.7738,3.0842,11.7778,9.7275,13.7125,11.2811,2.777,3.833,1.9318,12.7201,0,1.5651,7.8003,7.2901,14.296,4.0368,3.5949,7.2942,8.3019,2.4141,8.8485,14.0039,10.5891,12.1043,3.3001,9.3519,5.3871,10.3171,10.7516,11.1674,5.2993,1.1134,6.4256,12.2138,9.3487,2.5133,14.7901,4.0783,7.8551,11.7784,7.8102,13.2393,10.8758,5.8746,4.9894,11.5066,7.6408,12.185,7.3192,10.5534,4.9251,7.9865,9.5058,12.7929,7.6066,10.5568,7.1572,11.2638,9.6373,12.1427,5.0294,3.1802,0,2.4108,5.5058,11.586,2.4398,3.0165,3.422,0.847,3.8654,3.4594,6.9192,5.7397,1.9898,2.9282,4.3651,6.8609,5.8819,1.9175,4.6553,3.1875,9.1142,4.2947,8.6034,1.0146,3.6015,5.6233,1.1257,4.0156,5.2961,7.9213,1.9101,2.6589,5.4894,2.6038,5.5497,4.932,0.8029,5.0238,11.5234,2.5052,8.2057,2.307,1.8707,1.4016,3.1041,2.3802,5.2935,3.577,6.8545,10.2001,10.1222,5.3435,8.2199,7.557,6.0014
"HAO2",12.45,9.013,6.8749,10.46,0.594,8.9787,12.1017,12.6995,10.3992,11.1578,6.0543,12.3625,8.0573,10.9342,9.8142,12.1306,10.4055,3.9968,0,9.278,11.2293,5.3136,5.1743,0,8.7563,0,10.192,4.7014,6.7471,7.0393,12.2653,5.6005,11.5955,10.058,10.7447,10.4835,7.1258,12.4111,2.9097,4.1291,5.8464,11.3765,11.5539,2.2835,12.249,11.2035,9.4013,9.9856,7.414,10.772,2.0814,3.0938,6.8037,1.1004,2.0582,8.1879,7.1559,5.0639,2.5521,2.8179,2.6842,8.3431,9.7777,5.5402,6.1341,7.8626,9.1087,9.2248,6.2001,7.6994,9.5829,7.834,12.1602,8.5137,0.931,9.1936,6.5636,0.6226,10.7392,0,10.4782,2.0669,7.6726,6.4173,11.6867,10.0796,0,12.7608,6.2688,11.3047,5.2762,4.819,5.9638,6.4227,10.3929,6.0984,9.4786,12.156,11.8642,4.4848,13.3752,11.9844,13.2551,12.5801,13.1498,11.1014,13.0211,12.5506,12.542,12.9671,12.9824,11.432,12.9234,11.1168,12.5539,12.7024,12.0262,11.3843,13.431,13.2983,12.7966,12.8548,12.4644,13.1711,12.6797,12.8366,13.2126,12.7324,12.2838,13.2127,13.1178,13.2035,12.5296,10.7221,12.9064,11.33,13.5137,12.9871,12.8392,12.9307,12.6014,12.661,12.9179,12.9405,13.6495,12.5743,12.3399,12.0468,11.1889,13.0306
"CDHR2",6.2278,8.7926,6.2961,4.4783,11.3164,10.5218,1.1982,3.2661,2.9863,0.4792,11.5035,0.8891,10.5991,4.7681,8.3831,11.0412,10.7572,1.1051,0,11.1439,8.8373,8.2777,7.1833,2.0792,0.6849,12.662,6.597,7.1204,7.4423,5.8283,2.3784,7.666,6.2401,8.9245,0,7.0805,11.6327,7.7999,3.1044,10.1581,10.6173,9.2031,3.412,8.9894,11.381,5.3667,8.3145,11.2765,0,9.525,10.1096,2.3124,3.2719,13.93,11.6035,8.1536,1.7073,11.1915,8.6533,9.3873,12.1179,5.2544,9.1001,9.7161,3.5201,8.6243,1.9377,8.3081,7.6213,5.7981,4.2733,8.8651,10.9901,1.1979,10.2424,7.9152,9.2141,3.6247,0,0,4.3694,7.23,10.3662,2.8566,10.1798,8.6811,2.4493,11.8854,1.0892,4.3307,0,5.6104,6.598,5.5942,0,4.4818,8.5321,11.5472,3.2834,7.3182,13.0648,9.3091,9.7596,11.2331,7.9299,10.841,12.2491,9.9532,12.8095,11.6445,13.0409,11.074,11.0189,12.2117,12.2718,12.5483,10.8408,12.3114,10.642,10.4443,10.325,10.8429,12.3068,10.4999,11.8123,10.1568,12.5748,10.788,10.4936,12.6655,11.1987,9.8603,10.781,11.707,10.9495,8.069,11.0258,11.0936,11.1984,10.1501,11.0353,11.8735,11.9299,12.5293,12.0682,12.2806,11.8901,12.0797,8.8218,12.0175
"IGF2BP1",8.1138,6.5361,9.1645,1.1483,6.8659,8.243,7.5698,0,6.8244,7.0206,7.4915,2.395,8.2205,8.5981,9.8861,0,4.4611,9.3191,0,11.4463,8.5773,9.2075,11.1756,9.374,6.058,9.5791,0,8.0095,7.5903,1.4636,8.1534,8.1631,8.4635,7.7462,0,3.9383,9.0828,3.4789,1.0606,3.2502,11.2438,1.9318,0,9.8655,8.3633,2.5063,3.6894,5.9507,0.5265,4.0308,9.0128,5.2287,10.0122,2.9754,7.7277,7.7517,10.2472,11.9993,10.2202,9.4291,5.0093,0,9.9501,10.1403,0.6616,9.1075,4.5636,0.6006,5.7977,2.0128,10.0709,10.3822,0,9.6193,9.0707,3.4601,2.4732,12.2229,6.9156,5.8415,6.126,11.4516,6.5096,4.1614,10.5014,6.4915,4.5027,1.3408,0,1.0874,5.3859,10.0892,0.5843,7.9568,0,2.0176,10.4389,7.6912,5.894,1.3075,0,4.6609,0,1.7059,1.2801,1.6124,2.5063,0.8015,0,0,0,2.4794,1.9175,0.726,1.3907,2.1242,1.8355,2.7214,2.0219,0,1.3989,0,3.9075,1.2143,1.4427,0,1.5818,0,0,0,0,1.9922,0,0,0.9527,3.8126,0,1.8707,0,0,1.0367,2.9079,0,1.0109,1.644,3.6005,2.8456,0,0.8043,1.8886
"THRSP",10.9218,12.5263,2.5186,9.6564,2.9303,7.1041,7.1242,10.0947,10.5769,5.1407,1.1382,9.8893,8.4978,5.2105,0.6064,6.4662,9.8156,4.7184,5.0888,2.2868,9.5291,0.3461,5.0665,0,12.4314,4.3965,11.4224,10.4776,10.016,4.0723,11.328,3.055,8.7793,12.8758,12.1386,10.1784,6.5093,13.2915,3.2759,4.2551,9.2767,1.0882,8.7189,2.8652,12.4573,11.8258,8.5798,8.2652,9.0944,11.1406,7.2528,9.512,6.2092,1.7173,3.2386,3.6613,4.1693,3.678,3.1872,0,12.8666,4.535,8.8749,2.969,3.8462,8.4015,11.8168,8.5359,2.2532,6.4902,10.2032,7.9416,12.9876,14.0161,3.7753,12.913,6.0934,0.6226,10.3361,3.595,11.3251,4.544,9.0542,2.4349,3.283,11.3166,7.8078,11.502,7.6801,6.6437,6.5044,5.6104,9.2483,3.387,6.0689,7.5602,7.6566,9.9287,5.3212,1.6838,11.5018,9.8331,12.3188,10.9673,12.1957,10.4952,11.1291,13.1876,10.6844,13.4245,12.5217,10.7919,12.2512,9.3867,11.6691,12.9884,9.8304,12.025,12.4827,13.9007,11.9864,12.0965,11.1691,13.2001,11.2286,11.8578,12.436,12.6915,11.8494,13.1809,12.7804,13.1258,12.3835,10.0908,10.6343,10.7217,12.0912,13.1393,10.6944,12.447,10.4829,10.404,11.0683,12.2536,13.2178,12.6638,11.3614,12.263,10.4932,11.7148
"KRT19",0.8951,8.3644,4.3501,2.0149,13.3178,6.0275,0,4.6154,0.8233,6.7036,5.2106,0,3.8745,4.9711,7.0799,3.6962,6.3819,0,4.2581,0,1.5368,9.0753,14.6041,3.9927,0.6849,0,6.3928,4.3244,5.6297,0.91,1.7369,6.281,4.062,3.0958,3.5057,5.2712,7.799,5.552,0,4.0846,6.3777,3.151,0,0.5691,0,1.2657,0,0,0,3.1165,9.5337,0,0,4.9951,4.3952,10.3265,1.0927,6.6413,11.2855,8.4819,3.4824,0,6.6989,0.7229,0,1.6557,2.2553,12.1258,4.3101,14.9055,7.2361,9.9458,0,0,5.6686,0,4.1033,7.9987,1.7235,0,6.7076,10.7036,2.8799,5.5404,7.1021,10.0901,7.082,10.6608,0,0,0,6.8123,1.3207,10.9111,0.8532,0,4.4269,0.6505,6.7972,7.4335,7.8876,10.1748,7.2399,10.2465,8.8575,11.0118,10.83,6.8507,7.8758,8.2105,8.9281,9.4172,6.534,7.5946,7.1673,7.717,7.9294,7.9459,6.9478,9.8704,8.9524,7.122,7.8586,7.1659,11.0176,8.9863,8.4478,9.5364,8.7056,6.2743,11.1514,7.1086,10.5448,9.4487,9.1589,6.6618,8.5961,7.5673,6.9936,6.5025,7.7932,12.0658,8.0909,7.4974,8.8052,8.8087,9.4364,7.5017,11.9731,9.9672
