"gene","Sample1","Sample2","Sample3","Sample4","Sample5","Sample6"
"Gene109",236,272,141,201,143,210
"Gene110",84,105,28,193,106,49
"Gene111",134,117,80,114,107,129
"Gene112",52,58,33,68,60,75
"Gene113",36,60,40,50,30,67
"Gene114",183,165,280,294,245,217
"Gene115",127,213,81,67,177,192
"Gene116",96,71,66,38,63,91
"Gene117",28,23,32,24,22,33
"Gene118",166,130,123,153,125,132
"Gene119",50,71,98,73,97,79
"Gene120",73,90,119,119,96,121
"Gene121",261,263,134,249,176,302
"Gene122",54,101,95,74,46,67
"Gene123",162,98,96,186,142,135
"Gene124",27,34,27,54,35,59
"Gene125",212,113,103,101,93,192
"Gene126",122,136,73,79,106,80
"Gene127",26,51,30,27,18,27
"Gene128",208,213,199,177,155,177
"Gene129",96,83,112,21,77,56
"Gene130",126,64,106,54,89,74
"Gene131",47,68,83,76,47,97
"Gene132",114,132,134,192,145,131
"Gene133",12,6,5,9,9,10
"Gene134",226,271,281,311,286,365
"Gene135",91,84,64,73,89,96
"Gene136",86,143,96,85,94,58
"Gene137",85,66,104,72,76,39
"Gene138",118,93,93,63,52,93
"Gene139",148,160,151,185,107,167
"Gene140",16,2,20,40,30,20
"Gene141",8,12,14,16,14,16
"Gene142",112,133,113,89,106,60
"Gene143",95,57,56,48,76,26
"Gene144",96,138,86,68,103,126
"Gene145",124,71,142,155,170,200
"Gene146",176,105,261,161,168,168
"Gene147",85,70,84,91,78,94
"Gene148",32,20,15,16,37,23
"Gene149",76,97,139,181,77,139
"Gene150",27,12,14,30,33,16
"Gene151",237,146,151,94,119,214
"Gene152",10,14,15,26,9,7
"Gene153",56,95,85,74,121,90
"Gene154",100,48,56,70,35,58
"Gene155",51,58,43,32,48,52
"Gene156",15,31,24,24,15,22
"Gene157",165,110,88,143,124,82
"Gene158",220,372,214,137,86,135
"Gene159",36,14,27,28,23,29
"Gene160",22,26,12,31,36,32
"Gene161",30,39,38,47,44,48
"Gene162",15,23,33,35,37,32
"Gene163",64,76,52,92,56,63
"Gene164",146,115,268,234,224,250
"Gene165",28,44,20,27,23,26
"Gene166",87,61,127,75,63,65
"Gene167",22,13,15,19,21,23
"Gene168",72,67,60,120,80,132
"Gene169",53,117,69,141,75,148
"Gene170",102,75,73,73,52,76
"Gene171",85,75,130,162,85,42
"Gene172",129,123,91,52,119,92
"Gene173",30,32,62,47,49,59
"Gene174",49,39,28,32,38,22
"Gene175",21,19,26,12,19,22
"Gene176",62,20,26,57,51,33
"Gene177",121,170,136,111,99,64
"Gene178",389,524,458,318,314,199
"Gene179",121,85,118,86,79,76
"Gene180",132,368,262,234,218,221
"Gene181",33,30,25,19,40,50
"Gene182",146,73,100,135,101,67
"Gene183",81,69,49,48,99,77
"Gene184",63,79,56,56,78,76
"Gene185",119,195,242,141,215,93
"Gene186",396,303,112,356,352,416
"Gene187",54,71,45,24,36,38
"Gene188",7,11,11,14,7,6
"Gene189",19,15,61,55,30,30
"Gene190",46,77,76,83,96,102
"Gene191",133,67,91,203,160,101
"Gene192",64,83,56,51,55,68
"Gene193",113,56,69,95,83,68
"Gene194",48,34,64,60,81,76
"Gene195",14,16,13,27,19,30
"Gene196",29,47,51,35,56,66
"Gene197",45,24,48,19,14,38
"Gene198",93,132,122,87,74,87
"Gene199",57,62,74,70,106,54
"Gene200",75,36,33,47,66,44
"Gene201",47,36,33,64,38,27
"Gene202",25,16,11,7,10,44
"Gene203",103,180,146,69,97,140
"Gene204",13,19,13,18,34,19
"Gene205",58,85,59,78,77,76
"Gene206",32,50,85,43,110,86
"Gene207",239,128,203,203,138,241
"Gene208",133,217,215,115,253,147
"Gene209",85,89,93,88,73,94
"Gene210",108,85,48,89,67,71
"Gene211",92,104,108,73,56,45
"Gene212",107,196,159,265,303,98
"Gene213",98,140,207,169,104,199
"Gene214",113,105,145,97,98,135
"Gene215",67,90,47,74,42,90
"Gene216",56,61,70,74,81,50
"Gene217",44,63,75,62,70,78
"Gene218",32,30,20,31,23,36
"Gene219",77,87,32,78,48,57
"Gene220",93,83,59,132,134,177
"Gene221",45,43,70,37,23,66
"Gene222",19,6,8,19,28,22
"Gene223",102,134,58,77,74,89
"Gene224",170,176,164,185,130,158
"Gene225",12,9,9,8,8,5
"Gene226",263,132,303,113,108,162
"Gene227",89,78,67,55,66,144
"Gene228",16,24,32,32,40,26
"Gene229",126,111,128,139,68,116
"Gene230",95,67,24,31,55,52
"Gene231",140,170,187,108,254,272
"Gene232",43,47,48,49,69,45
"Gene233",100,68,157,133,136,98
"Gene234",21,42,39,32,20,36
"Gene235",48,36,15,11,22,36
"Gene236",66,34,68,64,94,58
"Gene237",85,70,28,70,31,87
"Gene238",105,78,140,31,137,102
"Gene239",189,211,62,229,90,301
"Gene240",166,230,212,273,142,170
"Gene241",99,81,70,86,67,30
"Gene242",81,69,148,82,90,96
"Gene243",209,237,199,352,167,263
"Gene244",68,82,79,100,100,94
"Gene245",172,103,117,224,295,130
"Gene246",7,13,6,8,13,3
"Gene247",53,61,44,63,76,42
"Gene248",51,43,57,76,66,56
"Gene249",45,73,43,53,47,11
"Gene250",93,170,400,133,286,219
"Gene251",268,300,417,538,348,349
"Gene252",21,14,29,10,20,25
"Gene253",87,115,93,104,131,83
"Gene254",69,103,51,65,62,53
"Gene255",82,78,113,65,71,97
"Gene256",177,311,196,267,318,355
"Gene257",127,66,90,38,99,65
"Gene258",68,31,69,108,102,117
"Gene259",52,34,51,52,34,25
"Gene260",137,123,140,225,137,272
"Gene261",54,80,106,43,122,68
"Gene262",95,66,64,106,136,90
"Gene263",12,11,20,8,12,12
"Gene264",49,43,43,36,34,36
"Gene265",4,4,6,4,5,7
"Gene266",26,47,38,32,37,32
"Gene267",159,158,197,66,179,105
"Gene268",159,104,198,124,140,166
"Gene269",64,94,45,62,64,76
"Gene270",34,23,40,50,41,28
"Gene271",5,7,10,4,5,2
"Gene272",65,77,85,61,53,28
"Gene273",153,72,121,86,85,135
"Gene274",53,17,32,49,32,10
"Gene275",11,4,7,4,20,11
"Gene276",49,60,22,48,68,90
"Gene277",108,123,138,190,106,88
"Gene278",189,111,155,163,193,205
"Gene279",13,10,21,10,9,11
"Gene280",25,8,21,11,11,12
"Gene281",196,170,81,94,68,64
"Gene282",237,172,153,136,179,304
"Gene283",110,103,143,134,106,94
"Gene284",349,442,334,466,192,222
"Gene285",21,23,43,20,51,24
"Gene286",239,245,196,196,121,265
"Gene287",20,12,35,18,37,16
"Gene288",22,23,12,31,12,32
"Gene289",85,79,61,65,88,73
"Gene290",142,158,123,183,146,146
"Gene291",181,162,121,70,126,175
"Gene292",97,152,278,74,259,63
"Gene293",52,104,80,62,47,41
"Gene294",80,93,38,42,43,47
"Gene295",81,82,88,120,73,92
"Gene296",122,118,114,158,97,50
"Gene297",122,110,98,124,45,74
"Gene298",117,187,121,129,161,102
"Gene299",140,51,128,86,95,51
"Gene300",88,74,90,96,96,123
"Gene301",177,105,125,129,163,107
"Gene302",86,214,191,173,144,306
"Gene303",22,18,22,29,34,31
"Gene304",49,73,62,69,50,68
"Gene305",105,95,97,104,56,38
"Gene306",17,52,22,24,27,20
"Gene307",117,63,157,98,67,84
"Gene308",46,31,56,85,31,44
"Gene309",112,96,125,102,120,97
"Gene310",23,33,23,35,43,41
"Gene311",24,76,31,50,20,54
"Gene312",15,17,12,11,36,12
"Gene313",18,18,11,11,16,36
"Gene314",284,224,264,174,212,136
"Gene315",99,68,58,145,44,53
"Gene316",139,196,131,63,161,159
"Gene317",88,131,97,237,103,180
"Gene318",69,56,56,122,84,60
"Gene319",19,40,26,31,18,32
"Gene320",29,25,20,8,11,12
"Gene321",62,40,56,30,41,78
"Gene322",50,48,60,43,56,89
"Gene323",81,33,73,60,54,66
"Gene324",315,166,251,280,258,383
"Gene325",368,106,311,199,193,373
"Gene326",308,164,182,183,166,315
"Gene327",20,32,8,17,18,11
"Gene328",28,73,92,60,45,32
"Gene329",32,29,13,35,27,47
"Gene330",328,292,386,422,465,265
"Gene331",92,146,134,103,156,191
"Gene332",24,21,9,10,42,14
"Gene333",156,159,124,212,133,143
"Gene334",121,63,107,61,60,93
"Gene335",31,52,46,36,58,12
"Gene336",19,23,12,27,13,30
"Gene337",140,195,81,147,73,60
"Gene338",66,49,37,47,31,65
"Gene339",60,112,171,103,62,122
"Gene340",42,82,95,58,68,96
"Gene341",156,91,72,95,72,54
"Gene342",163,207,189,311,249,260
"Gene343",58,64,31,15,43,22
"Gene344",8,22,13,20,26,19
"Gene345",9,6,8,10,8,7
"Gene346",5,14,11,19,15,10
"Gene347",145,126,141,46,93,123
"Gene348",146,67,127,107,155,78
"Gene349",98,60,91,99,86,92
"Gene350",269,126,208,150,286,132
"Gene351",14,9,18,18,7,9
"Gene352",218,111,150,138,135,177
"Gene353",242,292,244,114,389,99
"Gene354",307,176,100,182,180,137
"Gene355",53,76,73,70,85,66
"Gene356",133,65,106,62,61,86
"Gene357",283,223,258,210,401,251
"Gene358",43,47,24,40,36,45
"Gene359",34,38,39,25,64,26
"Gene360",45,147,161,98,121,122
"Gene361",5,9,13,11,9,16
"Gene362",107,108,171,129,125,174
"Gene363",1,1,3,0,1,0
"Gene364",70,95,97,79,80,46
"Gene365",12,27,16,7,11,12
"Gene366",120,111,94,144,160,126
"Gene367",61,34,153,48,43,69
"Gene368",125,101,121,197,159,182
"Gene369",109,163,122,111,106,144
"Gene370",17,13,9,12,19,18
"Gene371",178,284,198,513,246,235
"Gene372",28,47,35,63,40,90
"Gene373",110,151,197,246,102,107
"Gene374",81,75,129,96,78,175
"Gene375",41,68,38,30,64,34
"Gene376",68,148,61,118,54,128
"Gene377",151,145,137,163,133,144
"Gene378",125,210,196,104,85,88
"Gene379",44,29,47,25,43,43
"Gene380",71,57,70,63,59,42
"Gene381",64,76,116,54,95,97
"Gene382",48,148,226,146,115,88
"Gene383",87,96,108,141,125,81
"Gene384",28,36,28,47,49,44
"Gene385",112,33,100,215,132,149
"Gene386",101,104,155,35,127,106
"Gene387",130,133,184,161,92,124
"Gene388",134,191,134,142,201,217
"Gene389",64,27,56,89,51,47
"Gene390",39,100,103,45,61,38
"Gene391",18,13,68,12,44,24
"Gene392",60,54,47,45,48,46
"Gene393",30,41,27,38,51,76
"Gene394",202,123,73,213,88,97
"Gene395",73,81,52,49,111,86
"Gene396",131,121,80,127,84,106
"Gene397",37,44,39,53,55,25
"Gene398",134,219,91,62,96,232
"Gene399",100,132,142,61,85,111
"Gene400",81,99,107,133,97,119
"Gene401",146,164,133,112,136,119
"Gene402",36,28,98,105,49,78
"Gene403",102,94,136,87,184,214
"Gene404",166,243,196,132,83,213
"Gene405",80,85,59,66,85,39
"Gene406",23,29,42,30,45,43
"Gene407",69,69,29,50,55,54
"Gene408",111,144,197,67,92,93
"Gene409",32,50,36,90,31,61
"Gene410",174,145,263,343,245,98
"Gene411",81,133,100,140,151,148
"Gene412",176,158,174,156,165,207
"Gene413",68,41,45,89,71,65
"Gene414",259,66,121,144,199,104
"Gene415",95,123,103,85,27,74
"Gene416",7,8,7,20,16,13
"Gene417",62,82,99,67,73,61
"Gene418",42,21,43,48,11,56
"Gene419",52,37,109,67,55,62
"Gene420",36,42,61,62,58,104
"Gene421",47,22,34,27,25,27
"Gene422",38,41,30,30,28,48
"Gene423",9,15,21,8,15,23
"Gene424",18,44,14,25,38,28
"Gene425",13,15,7,10,14,25
"Gene426",65,69,43,94,108,66
"Gene427",137,137,215,144,287,129
"Gene428",51,63,36,52,38,52
"Gene429",66,86,69,94,61,64
"Gene430",92,39,39,57,37,42
"Gene431",269,162,250,311,167,215
"Gene432",280,132,138,159,127,175
"Gene433",39,15,29,27,27,56
"Gene434",27,20,28,32,23,51
"Gene435",79,74,72,97,48,53
"Gene436",194,261,206,420,255,376
"Gene437",82,34,70,83,69,49
"Gene438",40,54,30,19,30,45
"Gene439",20,50,36,37,51,28
"Gene440",102,125,102,104,71,120
"Gene441",58,49,28,60,79,68
"Gene442",55,81,77,72,128,72
"Gene443",72,77,51,77,64,66
"Gene444",17,22,40,59,9,26
"Gene445",39,69,39,103,59,75
"Gene446",93,140,98,148,111,118
"Gene447",110,122,71,77,112,70
"Gene448",220,178,306,251,197,132
"Gene449",40,55,38,55,78,53
"Gene450",219,146,368,151,123,242
"Gene451",39,40,63,54,38,26
"Gene452",171,261,234,143,264,261
"Gene453",192,206,139,93,207,182
"Gene454",54,138,102,53,64,103
"Gene455",61,54,52,84,36,65
"Gene456",53,53,44,21,27,26
"Gene457",38,49,51,26,25,58
"Gene458",111,73,66,89,84,74
"Gene459",100,107,54,90,132,115
"Gene460",53,12,36,39,52,57
"Gene461",147,105,177,90,108,105
"Gene462",78,71,51,47,96,51
"Gene463",45,44,112,66,86,47
"Gene464",111,73,115,93,64,117
"Gene465",20,27,35,32,32,28
"Gene466",50,103,64,96,76,98
"Gene467",84,117,81,105,147,64
"Gene468",223,267,214,161,255,320
"Gene469",101,55,69,99,71,33
"Gene470",42,45,58,38,42,28
"Gene471",62,76,63,63,24,77
"Gene472",155,80,129,122,73,105
"Gene473",33,11,20,28,13,17
"Gene474",132,274,134,280,199,201
"Gene475",38,71,32,79,35,39
"Gene476",144,107,65,135,116,104
"Gene477",83,51,151,138,211,162
"Gene478",252,115,203,245,180,148
"Gene479",74,82,58,56,58,61
"Gene480",107,73,132,77,80,117
"Gene481",83,40,143,81,51,164
"Gene482",65,52,80,129,73,88
"Gene483",81,44,59,21,63,44
"Gene484",135,110,101,210,119,111
"Gene485",70,45,41,37,80,39
"Gene486",115,129,70,126,128,150
"Gene487",228,386,187,205,207,431
"Gene488",37,37,28,18,25,34
"Gene489",349,319,138,156,155,133
"Gene490",47,20,33,20,25,41
"Gene491",245,241,173,244,193,204
"Gene492",128,82,54,66,128,151
"Gene493",138,94,94,64,123,153
"Gene494",113,233,164,210,137,202
"Gene495",80,92,68,73,91,97
"Gene496",19,25,16,24,49,15
"Gene497",124,214,84,88,98,100
"Gene498",296,245,397,353,242,264
"Gene499",24,25,22,26,40,34
"Gene500",27,8,9,6,20,29
"Gene501",70,56,57,34,81,27
"Gene502",50,28,53,22,44,35
"Gene503",73,94,81,71,95,51
"Gene504",143,189,152,157,117,168
"Gene505",75,112,64,68,87,51
"Gene506",50,65,88,85,71,42
"Gene507",142,222,227,358,327,129
"Gene508",53,76,53,116,82,127
"Gene509",41,58,32,58,49,52
"Gene510",178,172,173,51,140,157
"Gene511",67,44,129,81,87,119
"Gene512",219,170,152,292,230,240
"Gene513",276,152,288,157,221,200
"Gene514",11,34,21,15,14,22
"Gene515",103,76,101,73,100,97
"Gene516",307,277,176,215,205,306
"Gene517",258,265,256,249,154,197
"Gene518",74,67,66,71,68,88
"Gene519",203,407,216,253,350,280
"Gene520",78,45,48,83,154,127
"Gene521",100,59,75,72,89,98
"Gene522",83,54,67,68,39,85
"Gene523",133,82,135,115,162,114
"Gene524",64,65,79,53,59,59
"Gene525",36,17,14,11,19,24
"Gene526",194,177,159,260,155,251
"Gene527",41,76,68,71,70,80
"Gene528",17,19,22,21,8,18
"Gene529",76,56,51,52,61,76
"Gene530",147,113,66,115,144,192
"Gene531",13,30,9,11,10,15
"Gene532",44,66,48,51,43,45
"Gene533",66,60,67,120,103,141
"Gene534",52,18,40,23,27,47
"Gene535",75,160,61,84,84,79
"Gene536",124,92,74,76,78,64
"Gene537",83,114,109,140,69,91
"Gene538",225,332,211,375,276,115
"Gene539",238,175,134,257,189,169
"Gene540",69,59,41,45,51,36
"Gene541",62,71,92,64,28,45
"Gene542",99,121,98,157,113,102
"Gene543",34,21,29,36,30,19
"Gene544",135,120,79,78,207,113
"Gene545",104,123,180,116,118,126
"Gene546",289,250,285,282,199,242
"Gene547",100,101,89,93,38,155
"Gene548",36,49,96,55,110,105
"Gene549",17,13,10,15,17,13
"Gene550",125,80,74,65,125,107
"Gene551",63,43,53,70,57,50
"Gene552",133,120,109,115,305,207
"Gene553",110,65,127,129,86,91
"Gene554",133,135,146,102,254,88
"Gene555",40,19,20,40,15,34
"Gene556",28,18,43,35,44,69
"Gene557",74,184,44,36,184,47
"Gene558",49,14,26,52,30,53
"Gene559",114,43,77,78,97,138
"Gene560",138,340,290,421,160,451
"Gene561",102,59,94,75,113,55
"Gene562",122,109,120,130,165,115
"Gene563",99,84,141,163,177,210
"Gene564",62,81,97,63,56,87
"Gene565",60,109,108,73,59,46
"Gene566",90,247,144,113,89,228
"Gene567",147,135,54,81,74,133
"Gene568",234,212,156,122,71,121
"Gene569",52,39,44,94,53,25
"Gene570",26,36,30,34,40,56
"Gene571",212,126,92,202,143,317
"Gene572",90,125,69,138,102,106
"Gene573",60,107,119,54,61,63
"Gene574",57,20,65,59,43,39
"Gene575",349,269,322,291,416,270
"Gene576",49,17,52,80,26,40
"Gene577",124,115,79,135,101,83
"Gene578",90,67,29,42,65,70
"Gene579",6,3,5,8,5,5
"Gene580",211,285,229,145,225,197
"Gene581",138,156,266,138,141,117
"Gene582",115,88,69,185,158,243
"Gene583",260,147,218,312,147,221
"Gene584",190,197,119,191,123,84
"Gene585",140,117,91,158,56,170
"Gene586",66,144,94,82,90,94
"Gene587",45,74,27,19,36,27
"Gene588",369,128,228,322,166,184
"Gene589",40,33,43,32,24,28
"Gene590",151,189,228,144,369,164
"Gene591",170,150,89,107,137,186
"Gene592",79,69,79,36,163,106
"Gene593",10,16,8,9,13,11
"Gene594",7,11,15,6,9,10
"Gene595",31,58,41,35,24,47
"Gene596",276,522,325,311,330,351
"Gene597",92,170,119,130,100,85
"Gene598",143,89,171,226,143,125
"Gene599",78,151,124,87,125,86
"Gene600",56,36,42,31,46,56
"Gene601",17,43,67,24,63,31
"Gene602",104,261,202,79,92,194
"Gene603",41,92,68,106,83,77
"Gene604",35,32,38,23,27,40
"Gene605",34,70,39,46,48,51
"Gene606",51,32,79,46,48,62
"Gene607",36,58,54,63,48,56
"Gene608",112,199,133,181,200,276
"Gene609",96,96,60,206,122,53
"Gene610",29,19,34,22,30,22
"Gene611",3,16,15,17,14,21
"Gene612",167,157,254,139,223,224
"Gene613",21,35,12,25,12,24
"Gene614",53,44,63,46,29,53
"Gene615",82,205,116,164,214,351
"Gene616",18,54,50,32,54,40
"Gene617",3,9,10,6,8,9
"Gene618",106,93,80,143,99,164
"Gene619",143,113,77,120,94,113
"Gene620",28,32,60,26,73,56
"Gene621",104,58,115,86,108,127
"Gene622",58,98,104,117,126,64
"Gene623",118,66,86,84,61,56
"Gene624",33,32,33,33,15,13
"Gene625",79,122,78,85,95,103
"Gene626",86,50,40,86,68,88
"Gene627",49,51,52,22,33,41
"Gene628",73,170,137,123,80,175
"Gene629",112,69,106,30,99,110
"Gene630",137,61,87,113,63,51
"Gene631",31,14,26,52,33,18
"Gene632",54,20,40,17,24,40
"Gene633",201,209,220,69,191,160
"Gene634",25,49,20,61,59,85
"Gene635",53,37,30,39,22,37
"Gene636",75,111,91,59,81,54
"Gene637",76,72,128,34,81,67
"Gene638",49,101,68,92,63,74
"Gene639",132,111,87,107,111,184
"Gene640",97,68,117,73,134,123
"Gene641",122,107,63,122,144,57
"Gene642",150,129,154,96,131,104
"Gene643",159,198,223,152,162,229
"Gene644",26,13,28,14,21,12
"Gene645",56,49,34,78,53,72
"Gene646",57,50,205,75,87,83
"Gene647",203,149,215,221,130,126
"Gene648",35,23,37,60,47,28
"Gene649",48,57,61,68,24,28
"Gene650",114,128,244,349,135,158
"Gene651",136,55,99,134,114,110
"Gene652",108,86,177,191,205,97
"Gene653",26,21,31,7,17,15
"Gene654",122,44,142,69,74,81
"Gene655",34,36,36,26,32,27
"Gene656",260,161,207,68,217,122
"Gene657",21,17,20,32,35,41
"Gene658",56,41,75,44,59,88
"Gene659",70,75,75,76,44,102
"Gene660",8,11,19,21,20,13
"Gene661",118,77,108,87,31,161
"Gene662",106,60,75,39,30,75
"Gene663",53,49,39,44,59,47
"Gene664",106,105,49,120,55,78
"Gene665",29,49,41,29,40,55
"Gene666",91,62,168,97,103,73
"Gene667",153,147,147,185,121,62
"Gene668",34,13,8,12,21,16
"Gene669",196,135,187,95,57,137
"Gene670",122,188,73,73,178,136
"Gene671",30,33,35,17,21,41
"Gene672",115,109,67,153,55,122
"Gene673",123,181,166,190,146,91
"Gene674",126,130,40,61,71,60
"Gene675",123,56,80,93,60,36
"Gene676",55,115,79,85,58,79
"Gene677",24,33,12,15,27,40
"Gene678",185,79,59,131,144,93
"Gene679",175,374,164,147,225,187
"Gene680",33,151,76,60,54,75
"Gene681",35,46,29,50,41,9
"Gene682",114,178,144,108,154,102
"Gene683",51,24,28,95,24,27
"Gene684",221,509,160,289,185,304
"Gene685",15,33,30,12,34,19
"Gene686",121,25,50,97,131,110
"Gene687",138,229,116,288,201,283
"Gene688",47,102,75,92,51,83
"Gene689",102,101,151,212,112,130
"Gene690",215,176,178,341,249,152
"Gene691",121,117,87,30,94,149
"Gene692",128,151,251,234,214,182
"Gene693",86,104,62,67,97,112
"Gene694",99,130,94,36,88,187
"Gene695",6,3,8,6,1,2
"Gene696",26,41,50,15,18,42
"Gene697",334,187,334,238,302,270
"Gene698",76,86,148,100,116,138
"Gene699",8,16,12,17,10,12
"Gene700",163,168,147,95,115,131
"Gene701",172,223,148,233,296,306
"Gene702",147,223,255,256,204,309
"Gene703",67,51,60,100,126,44
"Gene704",40,62,65,119,44,81
"Gene705",28,39,35,26,20,40
"Gene706",37,23,19,22,38,26
"Gene707",81,23,52,23,71,74
"Gene708",95,54,33,79,65,109
"Gene709",107,128,126,158,100,94
"Gene710",252,306,321,227,374,375
"Gene711",94,61,93,80,36,55
"Gene712",244,233,280,380,139,59
"Gene713",68,71,75,149,93,125
"Gene714",101,219,168,107,197,199
"Gene715",114,127,76,60,115,35
"Gene716",69,51,60,148,101,56
"Gene717",54,58,156,43,98,69
"Gene718",48,63,76,71,79,74
"Gene719",3,3,2,6,2,5
"Gene720",64,72,157,52,82,49
"Gene721",287,301,344,294,236,299
"Gene722",10,22,27,12,20,20
"Gene723",69,134,125,133,91,123
"Gene724",52,44,90,91,65,62
"Gene725",46,37,51,57,55,46
"Gene726",13,24,41,24,35,39
"Gene727",178,86,63,99,92,55
"Gene728",52,57,56,89,48,77
"Gene729",38,148,119,69,81,80
"Gene730",127,67,119,119,145,115
"Gene731",126,172,198,104,150,64
"Gene732",106,146,69,100,99,136
"Gene733",60,87,77,94,123,69
"Gene734",277,267,163,175,274,182
"Gene735",41,30,61,39,40,48
"Gene736",95,59,197,53,141,127
"Gene737",127,217,177,163,94,195
"Gene738",124,114,128,135,152,166
"Gene739",24,33,18,24,26,53
"Gene740",73,82,62,84,97,159
"Gene741",47,113,113,60,66,63
"Gene742",95,187,148,97,70,243
"Gene743",144,153,124,193,105,162
"Gene744",56,72,110,65,93,87
"Gene745",198,130,216,250,317,265
"Gene746",147,54,95,52,71,61
"Gene747",43,50,16,34,72,48
"Gene748",141,95,135,91,97,150
"Gene749",106,90,149,133,131,104
"Gene750",137,94,100,99,100,101
"Gene751",35,61,59,66,81,42
"Gene752",89,75,48,78,41,57
"Gene753",27,27,27,14,31,30
"Gene754",66,76,55,51,115,55
"Gene755",85,108,96,80,95,132
"Gene756",168,89,158,67,99,195
"Gene757",7,4,7,11,4,9
"Gene758",63,61,46,61,77,47
"Gene759",129,101,151,158,158,200
"Gene760",37,95,59,35,52,118
"Gene761",102,88,100,225,112,98
"Gene762",217,168,128,114,188,131
"Gene763",9,13,22,12,31,19
"Gene764",74,50,61,29,46,49
"Gene765",161,268,212,87,131,87
"Gene766",38,34,84,38,39,83
"Gene767",58,48,33,70,25,28
"Gene768",16,26,19,20,16,17
"Gene769",146,116,98,188,199,110
"Gene770",196,129,178,176,199,305
"Gene771",49,74,56,88,117,63
"Gene772",93,78,114,99,85,125
"Gene773",203,180,269,159,165,343
