gene,S01,S02,S03,S04,S05,S06,S07,S08,S09,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36,S37,S38,S39,S40
MODA_11,10.0762,7.7322,4.0660,5.7220,6.8928,9.5575,12.2124,6.8645,3.8206,4.3600,10.9903,6.4555,7.5326,9.9553,6.6262,9.9917,4.9108,3.7248,1.8878,9.0989,3.8954,10.3931,5.7923,3.1232,6.7087,9.9303,3.5694,4.9938,6.7429,7.8017,9.9794,5.9289,7.4461,6.9172,1.2388,6.3922,6.3848,5.7777,6.9058,9.0165
MODA_12,8.5733,6.6367,2.8045,5.5871,7.1019,7.4214,9.9147,6.1270,4.8398,4.9543,8.2200,5.9207,6.7966,8.3938,5.7035,9.4974,4.9056,3.5774,2.8590,6.8337,3.0203,9.1914,4.6989,3.1922,5.5469,9.0153,3.0547,3.7587,7.0956,6.8195,8.1134,4.4209,5.0330,5.0553,1.7421,6.0703,4.1602,6.7639,5.3827,7.6384
MODA_13,9.2923,6.1296,2.2223,4.8199,6.0156,6.8887,9.3327,5.0455,2.6384,4.2201,8.9040,4.5048,7.1179,8.6151,5.3480,9.1263,4.3001,4.4901,1.5977,5.8821,2.5548,9.8751,3.4804,3.0580,5.4215,7.7842,2.0756,3.8694,5.1995,6.7219,7.8425,5.3645,6.1078,5.6682,-0.7157,5.0701,3.4935,4.6103,5.0677,5.7168
MODA_14,10.5309,7.3397,5.3820,5.6570,6.0360,7.5241,11.6182,5.8523,3.8561,5.4647,9.6737,5.7057,6.7665,8.8569,5.7751,8.1532,4.9249,5.0252,2.4898,6.8570,3.8180,9.1832,5.0141,4.6005,5.8674,9.1834,3.2785,3.8528,7.2828,7.9176,8.0815,5.0179,6.5362,5.8445,1.2501,6.2275,6.0382,6.5035,5.7115,7.6981
MODA_15,7.8444,6.1635,3.1654,4.5252,5.9116,7.8913,7.2139,4.6179,3.4083,6.1651,7.6187,6.2188,7.2932,7.9106,5.2656,6.4281,5.3167,4.1399,3.1717,6.5289,3.8344,7.7890,3.3269,4.6974,5.7794,8.0230,3.3755,4.2013,7.8026,5.8122,7.3669,4.0988,6.9272,6.5605,1.7347,6.6342,5.4685,6.6504,5.1222,6.6801
MODA_16,7.9519,6.5159,5.0804,5.3212,6.1034,7.5539,8.3820,5.5566,3.4198,6.5145,9.0598,6.0891,5.9550,7.5452,5.3943,7.3076,4.6231,4.8941,3.6027,7.4086,4.6137,8.0738,4.7503,5.2328,5.2033,7.8384,3.0871,5.2518,4.8383,6.1145,7.1417,5.1035,6.9646,5.1949,3.3010,5.6344,4.1156,5.4455,5.1478,7.1009
MODA_17,8.8995,7.0917,1.5603,5.9789,5.0554,7.8787,11.1678,3.7778,3.1107,3.6876,9.5961,5.8716,5.3145,9.6017,5.0335,8.7308,3.5006,3.4806,-0.0702,5.0323,2.0064,10.0004,3.2585,2.8864,4.8375,9.0062,2.4980,3.2737,5.1538,6.5742,8.7918,3.4316,6.1812,4.8653,-1.6150,6.0545,5.3503,5.6792,4.8387,7.2266
MODA_18,9.7449,7.6197,3.8500,7.6491,6.8937,9.1223,11.2637,6.6733,4.6542,4.9746,11.4867,6.7393,7.5810,10.0942,6.8252,10.1597,5.9309,4.0239,1.9281,7.8961,3.6510,10.9888,3.3792,3.3916,6.0708,9.8022,3.3397,4.9448,7.8029,8.6088,10.2155,5.9003,7.0756,5.5303,0.6013,6.7583,5.4800,6.6958,5.7199,8.4393
MODA_19,9.0382,7.3159,4.7950,6.1347,7.7680,9.4175,9.9945,5.7757,4.6946,6.1524,7.7520,6.4700,6.4873,8.6857,6.9526,8.3303,5.4706,4.1710,4.8683,6.7627,5.1566,9.4412,5.1110,4.3000,5.9161,8.3426,4.4193,5.1030,6.4892,7.1553,8.5747,5.6031,5.8245,5.9514,3.2578,6.9550,5.3413,5.5852,6.1553,7.7612
MODA_20,9.3978,6.7750,3.3325,5.7442,6.6398,7.9976,7.8639,4.4027,2.9691,4.5680,9.3588,5.0108,6.3162,8.8886,5.1597,7.8634,4.1998,3.0319,1.8825,6.5063,3.1493,10.3784,4.7478,2.8219,4.7545,7.4763,3.1108,3.2984,5.4713,6.1907,7.9247,4.2604,5.9746,3.9899,0.7255,5.9261,5.7172,4.7424,4.9075,6.8475
MODA_21,8.7966,6.1937,4.8824,6.8171,6.8697,8.0180,10.5435,6.4939,5.3802,4.6555,9.5460,6.1146,7.7691,8.4644,6.0711,9.7333,6.1316,5.0826,3.8575,6.6033,4.6405,9.1357,5.9588,4.0746,5.7334,8.3124,4.4573,5.2201,6.1928,7.7591,9.0321,5.9133,6.4677,5.5877,2.7537,7.0598,6.5264,6.4943,5.7675,7.6035
MODA_22,9.8117,6.9170,2.0767,5.5803,6.0531,7.7000,10.9820,4.8669,3.0927,3.0902,9.0898,5.4768,6.8936,9.2311,5.5640,8.9193,4.9071,4.0330,1.2354,6.5952,2.2087,10.6246,2.5170,2.7005,4.5282,9.3697,2.1689,3.6374,5.8099,7.5471,8.5330,5.0203,6.7082,5.5872,-0.6340,5.3337,4.5378,5.3156,4.5705,6.3982
MODA_23,9.7977,6.6491,3.2017,5.4924,7.0593,9.0388,11.4995,6.0279,2.8546,5.1143,10.1379,6.6780,7.1424,10.0673,5.8053,9.0112,3.8798,4.7147,0.6972,5.5220,3.4826,11.2589,3.4241,4.0624,4.9843,8.8463,2.4915,5.0784,6.5273,7.1435,8.8290,3.5013,7.7175,5.6989,0.0635,6.5655,4.2014,5.6661,5.9732,7.8666
MODA_24,9.0586,5.8475,4.6145,5.5470,7.4437,7.3701,9.0362,6.3625,4.0559,4.8086,9.0765,5.3736,5.8260,8.0443,5.4975,8.8609,5.3074,3.0468,3.2628,6.4610,4.0862,8.4638,3.3011,5.1190,5.9251,8.0504,4.3466,4.6962,6.6518,7.2007,7.7231,4.9672,5.7676,5.7878,3.6147,6.0869,4.7298,5.8263,4.8842,6.5607
MODA_25,9.8661,8.3697,5.0150,6.2650,7.9026,8.6049,10.2413,6.1733,5.8763,7.0760,10.1279,7.5585,6.4185,9.2047,6.5326,8.9694,6.9711,5.5120,4.7956,7.7978,4.4438,10.0336,5.8056,4.4466,7.4624,8.8881,3.8458,5.7284,6.5406,8.0947,8.3796,6.8844,7.6016,6.7764,2.7165,6.5296,5.1805,5.5827,6.0394,7.6559
MODA_26,8.0264,6.5423,3.2665,6.1936,6.5369,7.9588,9.9234,4.8432,3.2052,5.6513,8.7257,6.1196,7.6187,7.8749,5.2397,7.0862,5.1609,3.8809,3.3804,7.3652,3.9963,10.1194,4.5164,3.5421,5.4153,7.3087,3.6882,5.3439,6.4086,7.6325,8.6606,3.4995,6.4554,5.1123,1.4736,5.1514,5.0171,5.2179,4.9778,7.3665
MODA_27,10.2070,6.7017,3.5679,6.1221,7.3422,7.8959,10.6718,5.0686,3.7552,4.6312,9.1297,6.5832,7.8051,9.3719,6.6333,8.8807,5.5213,3.8968,1.2481,7.0290,2.3800,9.2584,3.9470,3.8602,5.2338,8.6096,1.7197,4.6386,6.4067,6.6223,9.8645,4.0194,6.5885,5.5676,0.1849,6.7061,5.5979,6.8565,5.6171,8.2814
MODA_28,10.7458,7.9235,2.8121,5.7916,7.9939,7.6039,11.1300,5.4475,2.1812,4.6057,9.8093,5.9897,6.4886,9.5218,6.2362,9.7843,5.5563,2.8607,2.3500,6.9953,3.2998,10.4048,3.4188,2.7085,4.9621,8.5833,2.0604,4.4057,6.0546,5.9888,9.2856,3.6302,8.2762,4.4955,-0.2114,5.3288,5.0198,4.9144,5.3428,8.2715
MODA_29,9.9214,6.7138,4.8221,6.1494,6.3652,8.8731,11.4339,6.1703,2.6144,5.3951,10.3161,6.2038,7.2156,9.1659,6.3410,8.5307,5.1981,3.4590,2.0684,7.9284,3.0183,9.3756,3.4432,3.9463,5.6269,8.6364,3.2499,4.4435,6.2568,5.9640,8.7282,5.4610,7.3591,5.1367,0.4202,5.5402,4.5019,6.4367,4.9020,6.9276
MODA_30,9.5957,7.6272,5.3236,6.7849,8.0457,9.7667,11.6651,6.3686,3.8953,4.8878,10.5498,6.8569,8.1452,8.7445,6.6442,9.6963,5.2604,4.9725,2.6580,7.6260,3.1514,10.9617,4.4307,2.7591,6.0687,9.5596,3.1446,3.7727,6.5209,6.4156,10.5136,4.0682,6.5064,6.2812,0.9264,6.6715,5.5470,5.2188,5.7456,7.1258
MODA_31,10.8236,7.6698,3.2597,6.4907,6.6837,8.4309,10.8101,4.7706,3.8520,5.0221,9.0563,5.5188,7.1413,10.2620,6.1431,10.0226,5.7157,2.4874,2.0236,7.3940,3.5429,10.1264,3.8773,3.3022,4.9383,8.5228,1.9374,4.4703,6.5033,7.3584,9.2810,4.8957,7.4405,5.5648,0.1404,6.0583,4.7301,5.4677,4.8291,7.8462
MODA_32,8.9133,6.9426,5.1910,6.4839,7.0848,8.1992,10.3357,4.4833,3.7534,6.0845,10.0520,5.7280,7.5209,9.2681,6.6596,8.5851,5.5176,4.6045,3.1322,7.1615,5.1745,9.8414,4.8886,5.0584,5.6845,9.1411,4.6973,4.8118,6.5719,6.0057,9.0478,3.9578,6.8274,5.7130,2.2516,6.2965,4.6714,5.5403,5.8701,7.3078
MODA_33,8.7232,6.5400,2.9051,5.4213,6.3430,8.7806,11.0233,5.8310,3.0138,4.6893,8.3423,5.3651,7.7342,9.2555,6.8259,9.3068,4.7138,3.5624,1.7989,6.1383,2.7046,10.5399,3.5409,2.9059,5.2456,9.0785,2.2503,3.5962,5.4242,6.0094,8.2949,5.0762,5.7677,5.4978,0.4248,6.0584,4.1781,4.4856,4.4409,7.2779
MODA_34,11.1393,8.2180,4.2211,8.0276,7.9884,8.4122,10.9078,7.0088,3.8248,5.0662,11.6709,7.1006,7.9156,9.6758,6.6250,10.6251,4.9853,3.3844,3.4902,8.2565,2.8790,10.5914,4.5317,4.1661,6.0455,9.2718,2.0821,4.6665,7.5109,7.8088,10.0839,5.5742,8.8473,6.3760,-0.7328,7.2723,4.7239,6.3124,6.3330,10.2428
MODA_35,10.4700,6.9412,5.1076,6.0398,7.0151,9.4220,10.0590,5.8470,3.5101,6.8393,9.6291,6.6545,7.3530,8.2298,6.7079,9.3779,6.0626,4.5641,4.0267,7.2960,3.7470,10.6920,5.4648,5.1119,5.9377,9.3404,3.9626,6.1013,7.1144,6.7005,10.0259,5.4096,7.4662,6.9506,2.0517,7.3728,5.5650,4.7670,6.2728,7.5158
MODA_36,8.4898,7.3484,3.0544,5.4823,7.7931,7.8036,10.1311,5.8563,3.1403,5.5532,9.1545,6.6650,5.8969,8.7693,6.5685,8.8140,5.5428,5.3377,2.8232,7.0995,3.7195,8.4952,4.5468,3.5260,5.8958,8.9388,2.9453,6.0453,6.9098,7.2027,9.0911,4.1678,6.3978,6.3276,2.3917,6.1008,5.7154,4.5040,4.4897,6.5591
MODA_37,9.6563,6.0573,2.4634,6.4883,5.6781,8.1895,9.2139,5.5532,2.2381,3.7629,8.6490,6.0244,5.6282,9.6048,5.1529,8.4432,3.6142,3.4531,1.9266,6.5779,2.2653,9.2061,3.0982,2.9400,4.4157,7.8190,1.8110,3.1861,6.2421,6.8378,8.5640,4.4447,6.1495,3.6290,-0.0693,3.8204,3.8119,3.3640,4.4554,5.4975
MODA_38,10.5206,7.4528,2.1813,6.1951,6.4286,7.7596,11.1007,5.4323,2.3648,3.6512,10.1805,4.7821,6.5404,8.7918,5.5750,8.7307,4.9866,2.8162,2.0057,6.9395,2.6418,10.4879,3.4906,3.2814,4.7335,9.5977,2.3636,3.8160,5.3885,7.4333,8.7266,5.4928,6.3164,6.3752,0.4677,5.9933,7.2036,3.7951,5.1306,7.7276
MODA_39,9.1557,6.6862,3.5349,4.8576,6.0823,7.5678,9.1226,5.7410,3.8063,3.5996,8.5739,5.4826,6.8757,8.7296,5.5616,7.9135,4.3375,3.6865,2.7830,6.0323,3.2303,8.6679,3.2508,3.7273,4.6749,7.6822,3.0734,2.9059,5.6888,7.3048,8.3014,5.1081,6.0788,5.5542,0.1285,6.0667,5.4154,3.7630,5.2674,7.2594
MODA_40,9.1747,6.9179,3.9894,6.9771,5.7367,8.5023,10.5500,5.5923,2.9284,6.2254,9.5938,6.4093,6.4640,9.0981,6.7456,9.9549,6.5154,4.1369,1.4160,6.9367,4.7522,10.1854,5.1753,3.5668,6.8596,8.7538,4.1781,5.7900,7.9001,7.6208,8.7174,5.8606,6.5934,7.2512,0.5135,7.3655,4.7966,6.4681,6.5491,8.0004
MODB_01,7.5051,10.3284,6.0115,5.0966,4.3908,-0.8941,4.6965,3.3738,5.6592,4.0084,3.6640,10.5098,5.1604,5.1405,6.1457,7.4282,0.5402,4.6672,2.8326,8.4706,6.4374,5.4404,2.9855,5.3645,6.4805,-3.0351,4.4858,8.1696,7.2693,11.9264,6.1368,6.5023,5.7088,11.8867,5.7148,6.4504,9.7353,7.0715,4.7173,6.6034
MODB_02,8.9959,10.0831,6.2100,4.1048,4.1784,-1.4356,5.2879,4.1779,5.3078,5.0118,4.3666,11.5787,4.7314,6.4819,7.7310,7.8842,1.1969,5.1045,4.4412,8.4435,7.5225,4.6440,2.8709,6.0442,6.2586,-2.0097,4.7081,7.7275,7.6063,11.7561,7.6507,6.3768,6.2030,13.9176,6.0904,7.3660,10.2720,7.7052,5.4330,7.6217
MODB_03,6.9256,9.2815,7.8988,4.4673,6.2745,2.2168,4.9428,5.7745,5.5093,5.4709,5.9396,8.5229,5.7223,5.7000,7.4310,7.7957,2.0771,4.9748,5.2209,9.9136,8.4013,5.3874,4.8203,6.1484,6.8978,0.4784,4.8129,6.7452,8.0581,9.9858,5.8450,7.3753,6.4221,11.7063,6.4905,7.5983,8.6677,7.0462,5.7465,7.7266
MODB_04,7.7852,10.2968,7.8005,5.9414,5.2409,0.9232,5.6948,5.9811,6.0017,6.4193,5.4094,11.0330,5.1482,6.9500,7.4927,8.0619,0.7802,5.7711,4.7211,8.5567,8.5648,6.1064,4.1592,6.4876,6.6849,-0.3029,6.2996,8.5817,7.9994,11.9793,7.6929,7.3192,5.7381,12.1524,7.6412,6.7232,9.5340,9.0694,6.4507,7.3117
MODB_05,6.0133,9.2389,6.8296,5.4617,5.7549,0.4095,5.0008,4.4141,6.2356,5.7441,3.5966,8.6310,5.6834,6.5196,6.4101,7.3239,1.7110,5.3291,5.0865,7.9421,7.6854,5.1323,4.0186,6.0222,6.9074,0.5285,4.8459,8.4487,7.3929,9.8650,6.7442,5.4700,5.4124,10.5791,5.0059,6.6103,10.3985,7.8135,5.3252,6.6661
MODB_06,5.4801,8.6300,5.6618,4.3081,4.2140,0.4488,5.3975,5.0354,5.4177,4.6262,4.3775,9.3137,4.4692,4.5912,6.8791,6.5199,2.2048,5.4971,4.2958,7.8842,7.0803,4.2859,4.0430,5.2166,6.7352,0.6157,4.4847,6.7945,5.3935,9.2124,5.4032,5.4260,4.9541,10.8979,5.0847,6.0346,8.4690,7.3978,5.8697,6.8971
MODB_07,7.6392,8.1823,7.2249,5.2707,4.6332,-0.4330,5.8203,5.5539,5.3496,5.6007,4.1468,9.1878,6.4266,5.5076,7.1953,6.9532,1.7097,5.1407,3.4972,8.3310,7.6806,4.2292,4.9205,5.6143,6.6757,-1.5181,5.2940,8.5920,6.8744,9.7983,5.7341,7.9968,6.5015,11.6674,5.5344,6.6916,9.9069,8.1800,6.0386,7.5483
MODB_08,7.0950,9.5047,6.0277,5.1438,4.9358,0.8679,6.4937,4.6293,6.0095,5.0967,3.4738,10.6385,3.5558,5.9381,6.1725,6.1847,1.4664,5.1637,3.9183,8.0103,7.1742,4.8336,4.6899,6.1592,5.9011,-1.7103,4.4534,7.7075,8.0007,11.6194,6.0957,6.6697,4.7707,12.1948,6.3427,6.3858,10.6380,6.6359,5.6909,7.4840
MODB_09,7.9246,10.0084,6.2501,4.9279,6.3461,0.5550,6.2043,5.7253,5.4008,6.0489,4.0299,10.5037,5.7024,6.3414,7.8066,7.3142,2.1753,6.2978,4.1642,8.9536,7.0896,5.5279,3.4453,6.3713,5.9620,0.4599,5.5059,7.0756,7.0969,11.2435,6.8644,7.0720,5.0775,11.2923,5.6819,6.5545,9.7349,7.7601,5.3282,6.4254
MODB_10,8.1282,8.6168,6.7182,4.2657,4.5726,-0.6680,4.5470,4.2055,5.5861,4.8023,3.1803,10.0812,4.3507,6.7920,6.6316,7.0293,1.4473,4.9083,3.8545,9.2039,7.3381,5.4465,3.4548,6.2314,6.9324,-0.1335,4.8210,7.1897,8.3978,10.2115,5.8735,7.1246,5.5718,10.9602,6.3886,6.7366,8.8063,6.4554,4.5654,7.2816
MODB_11,6.6377,7.6322,6.8780,5.5071,5.3746,2.0075,4.6862,4.2542,5.5247,6.1034,4.0857,8.5622,4.4320,5.6019,6.2898,5.9985,3.5267,5.2627,4.8318,7.5495,6.0008,4.9192,5.0472,5.8907,6.2644,0.4980,5.0618,5.7199,6.0751,8.0801,5.5011,6.7302,6.0012,9.7378,5.6162,5.8779,8.8683,7.1828,5.1538,5.4862
MODB_12,6.9944,10.2374,7.2672,5.2470,5.1846,-0.9395,6.7588,4.8791,4.7111,4.6333,4.3605,10.9939,4.6528,5.7626,7.2939,7.2575,1.8806,4.7781,3.3995,10.0305,6.8938,4.4219,3.1334,6.5004,6.0321,-3.0683,3.2739,6.9424,7.0016,11.9331,6.3923,7.1318,5.8007,12.1668,6.3753,5.9428,10.4703,7.8296,4.4640,7.2560
MODB_13,8.3031,9.9680,6.9142,4.7280,5.7907,0.5251,5.9353,4.9433,5.5998,5.7374,4.1365,9.5298,6.1303,5.6968,6.7626,7.6229,1.8452,6.5008,3.6984,8.6556,6.7284,5.1840,4.3904,6.6018,7.0352,-1.3175,5.8416,6.0679,6.8566,9.6668,5.4056,5.7313,6.2779,11.8510,7.5158,6.0552,9.8168,7.3941,6.1408,7.5394
MODB_14,8.0499,8.6651,7.4986,6.3938,7.1657,2.7234,5.9004,5.9930,7.6370,6.1700,5.0490,10.7922,5.4725,7.3219,6.7365,9.0473,4.1352,5.3452,6.4413,9.0440,7.8695,6.2227,5.4268,6.8412,7.6652,2.3043,6.5585,7.9599,7.9206,10.6912,7.7995,6.8647,7.5969,9.5999,7.5227,7.6774,8.4477,8.7686,5.1234,7.6551
MODB_15,7.7594,6.9378,5.7177,4.7694,5.0087,0.9530,5.7942,4.8649,6.1335,5.2817,4.3265,7.8677,4.6953,5.6131,6.3137,6.7268,2.7862,4.8798,5.0864,5.9176,7.6372,5.1659,4.5386,6.5370,6.2761,0.3128,3.8601,7.4784,6.0633,7.8628,5.9781,6.2643,5.6631,8.8094,5.2303,6.2411,7.4997,7.1283,5.3354,6.3029
MODB_16,7.6090,8.2058,6.4964,4.8562,5.1406,1.1768,5.7841,5.3973,4.9236,6.0627,4.9372,9.1181,5.3316,5.4441,7.8515,7.6191,2.7569,5.3497,5.0801,8.1760,7.0056,5.7586,4.5033,5.8761,5.6872,0.2684,6.6003,7.2148,7.9603,9.9888,6.1918,6.9772,5.4562,11.3484,6.5388,6.0528,8.1767,7.0472,5.5327,6.6712
MODB_17,6.9492,8.6573,6.3123,4.4599,5.5352,1.5865,6.1141,5.5729,4.5970,5.7603,4.5179,8.5888,3.7211,6.4010,7.4330,6.5777,1.4604,4.6160,4.4919,7.4766,6.8596,4.7565,3.9070,4.5698,5.9668,0.4291,4.8955,6.2925,7.2223,9.2729,5.8401,5.7571,5.3548,10.5394,5.4557,6.6136,7.8488,6.5746,5.1346,6.7345
MODB_18,7.3975,9.4031,7.7674,4.1765,4.4028,-0.2142,5.9170,5.5730,5.4071,6.9784,5.3488,10.2978,4.4918,5.6986,7.3750,6.8951,1.3551,6.1047,4.2082,7.9071,7.1513,5.6888,4.3958,5.8287,6.1997,-1.0940,4.9454,7.5806,8.5414,8.9603,5.9173,6.8945,5.9460,12.6166,6.8395,6.5675,9.8009,6.7658,5.0258,7.0130
MODB_19,7.4663,10.7396,7.0249,4.5917,5.1957,-0.1465,6.9945,4.8955,5.0476,5.0307,4.2836,9.9714,4.6813,7.0155,6.9702,6.6938,1.4176,5.9441,4.4471,8.7110,7.2944,5.0797,3.8956,5.2810,6.6019,-1.4580,3.4339,7.7197,7.0347,12.1775,6.5504,6.8819,5.9065,13.1894,6.5718,6.9411,10.0095,7.3773,5.5513,7.7701
MODB_20,8.6940,9.5829,5.6760,4.7262,4.5028,-0.5132,4.9328,3.9989,5.2559,4.6562,2.3203,9.8637,3.9149,6.3363,6.4075,7.8651,2.0750,4.6886,3.2374,7.4931,7.1572,4.1968,3.1736,5.6312,7.4451,-1.5398,3.4088,7.1908,5.8675,10.0659,6.1260,6.4775,4.2602,10.2559,4.7836,5.9463,9.1377,6.7461,4.7698,6.3120
MODB_21,7.5833,9.7664,6.0745,5.1836,4.6340,1.5713,6.8764,5.2666,6.5755,5.5010,3.8318,9.1986,4.8573,5.8658,8.1014,7.7077,2.8757,6.4616,5.5081,7.9160,7.0898,5.3877,3.6445,7.0488,6.8282,0.5489,5.3323,7.7238,7.8424,10.6221,7.0365,7.5360,6.0958,10.5990,5.9180,6.3336,8.3818,7.2562,6.0158,7.7018
MODB_22,7.7451,10.0257,7.8801,4.7607,5.4361,2.1787,6.1112,5.0915,5.9835,5.3364,4.2370,9.5972,6.7487,6.5422,6.7130,6.6625,2.3580,6.7183,4.5473,8.1941,6.8117,5.4153,4.5970,6.0661,5.2317,1.0222,6.6726,7.5116,6.8190,9.6556,5.9745,6.7396,5.8179,10.8012,6.0085,6.5242,9.0482,7.6747,5.6103,6.8118
MODB_23,7.5041,9.0810,6.2509,3.4575,4.8983,0.2650,4.3699,4.5448,4.7574,4.9158,3.1409,9.0166,4.7756,4.4764,6.5686,6.1069,1.5875,4.7815,2.9438,7.3871,6.7859,4.4660,4.3997,5.2374,6.4368,-1.8049,4.5518,6.3451,7.0822,9.6944,5.7786,6.0233,4.6113,13.0611,5.1487,6.9535,9.3468,7.0914,3.4467,6.3683
MODB_24,8.1605,9.2551,7.2202,5.1955,5.0384,1.5161,6.1120,5.2308,6.1648,6.1635,3.7974,8.3636,5.6921,6.4783,6.7728,7.0235,1.6983,5.1528,3.9898,8.0628,7.1607,5.3483,3.9077,5.3705,6.0818,1.3952,4.9017,6.9922,7.4520,10.0993,6.3024,5.8996,6.0089,9.5107,6.2168,7.3600,8.7389,6.7449,5.8642,6.9995
MODB_25,7.8439,9.2807,6.0482,4.4633,4.8657,-0.4106,5.2543,5.3209,5.7089,4.8760,4.3612,10.3100,4.6975,6.1396,6.0266,6.7112,2.0946,4.6133,3.3431,8.4521,7.4760,5.2810,5.2448,5.4490,6.0408,-0.5109,5.4155,7.0781,7.0975,10.1814,6.2207,6.9554,6.5008,11.2375,5.7223,6.2607,9.3174,7.5123,5.0895,5.3708
MODB_26,7.1886,9.4613,5.6504,4.4165,5.1478,1.3512,4.8401,4.8710,5.5992,5.1841,2.8402,10.5742,5.5105,6.6516,6.7881,5.9461,0.5617,5.4707,3.0703,8.9101,6.8555,4.6344,4.4538,5.8263,7.1715,-0.9874,4.3370,6.0240,6.9946,10.6659,5.4270,6.9377,5.8653,10.9287,4.1706,6.7837,10.1349,7.5709,5.8494,8.0369
